Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-01-01,Income
Rent,January_house_rent,11145,2025-01-02,Expense
Food,Dinner_order,602,2025-01-02,Expense
Food,Dinner_at_restaurant,895,2025-01-03,Expense
Shopping,Makeup_purchase,1652,2025-01-04,Expense
Food,Dinner_at_restaurant,982,2025-01-05,Expense
Food,Dinner_at_restaurant,1226,2025-01-07,Expense
Food,Dinner_order,493,2025-01-08,Expense
Food,Lunch_with_friends,642,2025-01-08,Expense
Spotify,Family_plan_renewal,179,2025-01-09,Expense
Food,Dinner_order,696,2025-01-10,Expense
Food,Lunch_with_friends,592,2025-01-10,Expense
Food,Fruits_and_vegetables,600,2025-01-11,Expense
Shopping,Bag_purchase,2665,2025-01-11,Expense
Food,Dinner_at_restaurant,1194,2025-01-12,Expense
Rent,Maintenance_charges,1807,2025-01-13,Expense
Shopping,Home_decor,1455,2025-01-13,Expense
Food,Lunch_outside,539,2025-01-14,Expense
Food,Dinner_order,644,2025-01-16,Expense
Shopping,Clothes_purchase,2085,2025-01-19,Expense
Shopping,Books_purchase,1071,2025-01-20,Expense
Salary,Freelance_payment,11395,2025-01-22,Income
Shopping,Stationery_items,393,2025-01-22,Expense
Spotify,Monthly_subscription,119,2025-01-28,Expense
