Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-03-01,Income
Shopping,Gym_accessories,1588,2025-03-01,Expense
Rent,March_house_rent,11571,2025-03-02,Expense
Food,Lunch_with_friends,768,2025-03-05,Expense
Food,Coffee_and_snacks,213,2025-03-10,Expense
Shopping,Makeup_purchase,1009,2025-03-10,Expense
Rent,Advance_rent_adjustment,3779,2025-03-13,Expense
Food,Dinner_at_restaurant,1209,2025-03-13,Expense
Food,Fruits_and_vegetables,593,2025-03-17,Expense
Food,Dessert_and_snacks,283,2025-03-19,Expense
Shopping,Clothes_purchase,2751,2025-03-19,Expense
Shopping,Electronics_accessory,2522,2025-03-19,Expense
Food,Snacks_and_juice,217,2025-03-21,Expense
Shopping,Footwear_purchase,2928,2025-03-21,Expense
Spotify,Family_plan_renewal,179,2025-03-22,Expense
Food,Dessert_and_snacks,305,2025-03-23,Expense
Food,Dinner_at_restaurant,722,2025-03-24,Expense
Rent,Maintenance_charges,1755,2025-03-25,Expense
Spotify,Monthly_subscription,119,2025-03-25,Expense
Shopping,Bag_purchase,2959,2025-03-25,Expense
Salary,Freelance_payment,8586,2025-03-26,Income
Food,Lunch_outside,318,2025-03-27,Expense
Food,Lunch_order,306,2025-03-27,Expense
Food,Grocery_refill,1438,2025-03-28,Expense
