Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-04-01,Income
Rent,April_house_rent,11799,2025-04-02,Expense
Rent,Maintenance_charges,1709,2025-04-02,Expense
Food,Dinner_at_restaurant,1118,2025-04-02,Expense
Food,Milk_and_bread,123,2025-04-03,Expense
Food,Lunch_with_friends,632,2025-04-06,Expense
Shopping,Books_purchase,1132,2025-04-09,Expense
Spotify,Family_plan_renewal,179,2025-04-11,Expense
Food,Dinner_order,427,2025-04-12,Expense
Shopping,Footwear_purchase,2821,2025-04-16,Expense
Shopping,Gym_accessories,1053,2025-04-19,Expense
Food,Coffee_and_snacks,326,2025-04-20,Expense
Shopping,Makeup_purchase,929,2025-04-20,Expense
Shopping,Bag_purchase,1679,2025-04-20,Expense
Food,Dinner_order,664,2025-04-21,Expense
Food,Dinner_order,688,2025-04-21,Expense
Salary,Freelance_payment,8046,2025-04-22,Income
Food,Fruits_and_vegetables,673,2025-04-24,Expense
Shopping,Clothes_purchase,3117,2025-04-25,Expense
Spotify,Monthly_subscription,119,2025-04-26,Expense
Food,Grocery_shopping,1776,2025-04-27,Expense
Food,Grocery_refill,1696,2025-04-28,Expense
Shopping,Online_accessories,710,2025-04-29,Expense
