Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-05-01,Income
Shopping,Online_accessories,1448,2025-05-01,Expense
Rent,May_house_rent,11676,2025-05-02,Expense
Spotify,Family_plan_renewal,179,2025-05-02,Expense
Food,Dessert_and_snacks,324,2025-05-03,Expense
Food,Grocery_refill,1513,2025-05-03,Expense
Food,Lunch_order,323,2025-05-08,Expense
Food,Grocery_shopping,1538,2025-05-09,Expense
Shopping,Footwear_purchase,2045,2025-05-09,Expense
Shopping,Stationery_items,647,2025-05-09,Expense
Food,Coffee_and_snacks,286,2025-05-10,Expense
Food,Lunch_with_friends,518,2025-05-11,Expense
Food,Lunch_outside,469,2025-05-14,Expense
Shopping,Bag_purchase,2678,2025-05-14,Expense
Rent,Advance_rent_adjustment,3412,2025-05-18,Expense
Food,Milk_and_bread,129,2025-05-19,Expense
Food,Coffee_and_snacks,223,2025-05-19,Expense
Food,Lunch_order,334,2025-05-22,Expense
Food,Grocery_refill,1305,2025-05-24,Expense
Food,Lunch_order,542,2025-05-24,Expense
Spotify,Monthly_subscription,119,2025-05-25,Expense
Food,Dessert_and_snacks,276,2025-05-25,Expense
Salary,Freelance_payment,9447,2025-05-28,Income
Rent,Maintenance_charges,2414,2025-05-30,Expense
