Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-06-01,Income
Rent,June_house_rent,11905,2025-06-02,Expense
Food,Fruits_and_vegetables,579,2025-06-02,Expense
Spotify,Family_plan_renewal,179,2025-06-04,Expense
Shopping,Books_purchase,470,2025-06-06,Expense
Shopping,Footwear_purchase,3481,2025-06-07,Expense
Shopping,Online_accessories,875,2025-06-08,Expense
Rent,Maintenance_charges,2473,2025-06-10,Expense
Food,Lunch_with_friends,667,2025-06-10,Expense
Food,Dessert_and_snacks,344,2025-06-13,Expense
Spotify,Monthly_subscription,119,2025-06-14,Expense
Food,Dinner_at_restaurant,733,2025-06-16,Expense
Food,Fruits_and_vegetables,551,2025-06-16,Expense
Shopping,Bag_purchase,3446,2025-06-17,Expense
Food,Snacks_and_juice,213,2025-06-19,Expense
Food,Lunch_order,328,2025-06-21,Expense
Shopping,Gym_accessories,870,2025-06-21,Expense
Shopping,Makeup_purchase,1891,2025-06-21,Expense
Food,Dinner_order,456,2025-06-23,Expense
Food,Lunch_order,414,2025-06-24,Expense
Shopping,Home_decor,1015,2025-06-25,Expense
Salary,Freelance_payment,11981,2025-06-27,Income
Food,Grocery_shopping,1899,2025-06-27,Expense
Food,Dessert_and_snacks,194,2025-06-28,Expense
Food,Lunch_order,459,2025-06-29,Expense
