Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-07-01,Income
Rent,July_house_rent,11411,2025-07-02,Expense
Food,Dinner_at_restaurant,838,2025-07-03,Expense
Spotify,Family_plan_renewal,179,2025-07-05,Expense
Shopping,Gym_accessories,1516,2025-07-05,Expense
Food,Fruits_and_vegetables,881,2025-07-06,Expense
Food,Dinner_order,499,2025-07-07,Expense
Rent,Advance_rent_adjustment,2946,2025-07-10,Expense
Shopping,Clothes_purchase,2051,2025-07-10,Expense
Food,Milk_and_bread,151,2025-07-12,Expense
Food,Milk_and_bread,190,2025-07-12,Expense
Food,Lunch_with_friends,454,2025-07-13,Expense
Shopping,Stationery_items,459,2025-07-14,Expense
Rent,Maintenance_charges,1897,2025-07-15,Expense
Shopping,Electronics_accessory,2614,2025-07-15,Expense
Shopping,Footwear_purchase,2507,2025-07-15,Expense
Food,Milk_and_bread,115,2025-07-16,Expense
Food,Dinner_order,411,2025-07-16,Expense
Salary,Freelance_payment,10896,2025-07-18,Income
Food,Grocery_shopping,1649,2025-07-18,Expense
Food,Dinner_order,433,2025-07-20,Expense
Food,Dessert_and_snacks,182,2025-07-22,Expense
Food,Lunch_with_friends,464,2025-07-23,Expense
Food,Fruits_and_vegetables,592,2025-07-26,Expense
Spotify,Monthly_subscription,119,2025-07-28,Expense
Food,Dinner_order,519,2025-07-28,Expense
Shopping,Online_accessories,1267,2025-07-28,Expense
