Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-08-01,Income
Food,Dinner_at_restaurant,1071,2025-08-01,Expense
Rent,August_house_rent,11197,2025-08-02,Expense
Food,Dinner_order,412,2025-08-04,Expense
Shopping,Gym_accessories,1430,2025-08-05,Expense
Shopping,Electronics_accessory,2465,2025-08-09,Expense
Rent,Maintenance_charges,1755,2025-08-11,Expense
Food,Breakfast_outside,171,2025-08-11,Expense
Shopping,Makeup_purchase,925,2025-08-12,Expense
Rent,Advance_rent_adjustment,2466,2025-08-13,Expense
Shopping,Home_decor,1769,2025-08-14,Expense
Food,Snacks_and_juice,156,2025-08-15,Expense
Spotify,Monthly_subscription,119,2025-08-17,Expense
Food,Grocery_refill,1594,2025-08-17,Expense
Food,Breakfast_outside,182,2025-08-18,Expense
Food,Snacks_and_juice,193,2025-08-20,Expense
Food,Coffee_and_snacks,236,2025-08-20,Expense
Salary,Freelance_payment,10337,2025-08-22,Income
Food,Coffee_and_snacks,164,2025-08-22,Expense
Shopping,Stationery_items,657,2025-08-23,Expense
Food,Lunch_order,501,2025-08-24,Expense
Spotify,Family_plan_renewal,179,2025-08-29,Expense
Food,Lunch_outside,576,2025-08-29,Expense
Food,Dessert_and_snacks,267,2025-08-29,Expense
Shopping,Online_accessories,789,2025-08-29,Expense
Shopping,Books_purchase,976,2025-08-29,Expense
