Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-09-01,Income
Food,Lunch_order,479,2025-09-01,Expense
Rent,September_house_rent,11374,2025-09-02,Expense
Rent,Advance_rent_adjustment,3002,2025-09-03,Expense
Food,Coffee_and_snacks,196,2025-09-04,Expense
Food,Fruits_and_vegetables,672,2025-09-04,Expense
Shopping,Home_decor,1731,2025-09-04,Expense
Shopping,Clothes_purchase,3384,2025-09-04,Expense
Shopping,Bag_purchase,1968,2025-09-05,Expense
Rent,Maintenance_charges,1964,2025-09-06,Expense
Food,Lunch_order,461,2025-09-06,Expense
Food,Breakfast_outside,152,2025-09-06,Expense
Food,Fruits_and_vegetables,587,2025-09-06,Expense
Shopping,Books_purchase,565,2025-09-07,Expense
Food,Dinner_at_restaurant,1167,2025-09-11,Expense
Food,Fruits_and_vegetables,551,2025-09-12,Expense
Shopping,Footwear_purchase,2793,2025-09-14,Expense
Spotify,Monthly_subscription,119,2025-09-17,Expense
Spotify,Family_plan_renewal,179,2025-09-18,Expense
Shopping,Electronics_accessory,2364,2025-09-18,Expense
Food,Milk_and_bread,135,2025-09-20,Expense
Food,Dessert_and_snacks,232,2025-09-25,Expense
Food,Milk_and_bread,186,2025-09-27,Expense
Food,Coffee_and_snacks,214,2025-09-29,Expense
Salary,Freelance_payment,11967,2025-09-30,Income
Food,Lunch_outside,591,2025-09-30,Expense
