Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-10-01,Income
Rent,October_house_rent,11101,2025-10-02,Expense
Rent,Maintenance_charges,2320,2025-10-03,Expense
Food,Fruits_and_vegetables,866,2025-10-03,Expense
Food,Lunch_with_friends,545,2025-10-06,Expense
Shopping,Gym_accessories,1576,2025-10-07,Expense
Spotify,Family_plan_renewal,179,2025-10-08,Expense
Food,Coffee_and_snacks,310,2025-10-08,Expense
Food,Lunch_with_friends,582,2025-10-12,Expense
Food,Grocery_refill,1545,2025-10-14,Expense
Spotify,Monthly_subscription,119,2025-10-15,Expense
Food,Dessert_and_snacks,346,2025-10-15,Expense
Food,Milk_and_bread,162,2025-10-16,Expense
Shopping,Makeup_purchase,2284,2025-10-16,Expense
Salary,Freelance_payment,11087,2025-10-17,Income
Food,Grocery_shopping,1736,2025-10-17,Expense
Food,Dinner_at_restaurant,766,2025-10-17,Expense
Food,Grocery_shopping,1566,2025-10-22,Expense
Shopping,Home_decor,1481,2025-10-23,Expense
Shopping,Clothes_purchase,1818,2025-10-24,Expense
Food,Lunch_with_friends,716,2025-10-31,Expense
