Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-11-01,Income
Rent,November_house_rent,11253,2025-11-02,Expense
Food,Fruits_and_vegetables,668,2025-11-02,Expense
Shopping,Electronics_accessory,2176,2025-11-03,Expense
Food,Grocery_shopping,1819,2025-11-05,Expense
Rent,Maintenance_charges,2454,2025-11-06,Expense
Food,Snacks_and_juice,221,2025-11-06,Expense
Spotify,Monthly_subscription,119,2025-11-07,Expense
Shopping,Bag_purchase,2890,2025-11-07,Expense
Shopping,Books_purchase,506,2025-11-11,Expense
Food,Lunch_with_friends,553,2025-11-13,Expense
Food,Breakfast_outside,154,2025-11-14,Expense
Food,Milk_and_bread,121,2025-11-15,Expense
Salary,Freelance_payment,6072,2025-11-16,Income
Food,Lunch_outside,324,2025-11-17,Expense
Food,Coffee_and_snacks,285,2025-11-18,Expense
Shopping,Stationery_items,363,2025-11-18,Expense
Spotify,Family_plan_renewal,179,2025-11-20,Expense
Shopping,Gym_accessories,1228,2025-11-20,Expense
Food,Grocery_refill,1155,2025-11-21,Expense
Food,Lunch_order,512,2025-11-21,Expense
Food,Fruits_and_vegetables,670,2025-11-24,Expense
Food,Dessert_and_snacks,330,2025-11-27,Expense
