Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-12-01,Income
Rent,December_house_rent,12092,2025-12-02,Expense
Shopping,Stationery_items,426,2025-12-04,Expense
Shopping,Makeup_purchase,1730,2025-12-04,Expense
Food,Snacks_and_juice,271,2025-12-06,Expense
Shopping,Clothes_purchase,2095,2025-12-06,Expense
Shopping,Bag_purchase,2259,2025-12-06,Expense
Food,Fruits_and_vegetables,658,2025-12-08,Expense
Food,Breakfast_outside,259,2025-12-08,Expense
Shopping,Home_decor,1805,2025-12-14,Expense
Food,Lunch_outside,391,2025-12-16,Expense
Food,Breakfast_outside,213,2025-12-17,Expense
Food,Lunch_outside,534,2025-12-19,Expense
Spotify,Family_plan_renewal,179,2025-12-22,Expense
Food,Snacks_and_juice,288,2025-12-22,Expense
Food,Fruits_and_vegetables,565,2025-12-22,Expense
Food,Milk_and_bread,145,2025-12-23,Expense
Food,Dinner_order,581,2025-12-23,Expense
Spotify,Monthly_subscription,119,2025-12-25,Expense
Food,Lunch_with_friends,704,2025-12-27,Expense
Shopping,Footwear_purchase,4426,2025-12-27,Expense
Rent,Maintenance_charges,1527,2025-12-28,Expense
Shopping,Electronics_accessory,2613,2025-12-28,Expense
Food,Dinner_order,687,2025-12-29,Expense
Food,Dessert_and_snacks,206,2025-12-30,Expense
Salary,Freelance_payment,6375,2025-12-31,Income
Food,Snacks_and_juice,163,2025-12-31,Expense
