Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2026-02-01,Income
Shopping,Bag_purchase,3073,2026-02-01,Expense
Rent,February_house_rent,12706,2026-02-02,Expense
Food,Lunch_order,324,2026-02-02,Expense
Food,Dessert_and_snacks,219,2026-02-02,Expense
Food,Snacks_and_juice,151,2026-02-04,Expense
Rent,Maintenance_charges,2357,2026-02-06,Expense
Food,Grocery_shopping,1808,2026-02-09,Expense
Shopping,Clothes_purchase,2157,2026-02-11,Expense
Shopping,Books_purchase,421,2026-02-12,Expense
Food,Dessert_and_snacks,341,2026-02-13,Expense
Shopping,Footwear_purchase,4233,2026-02-15,Expense
Shopping,Stationery_items,654,2026-02-16,Expense
Food,Snacks_and_juice,184,2026-02-17,Expense
Food,Dinner_order,586,2026-02-18,Expense
Salary,Freelance_payment,7414,2026-02-22,Income
Food,Breakfast_outside,266,2026-02-22,Expense
Food,Dinner_order,417,2026-02-24,Expense
Food,Breakfast_outside,281,2026-02-27,Expense
Food,Dinner_order,642,2026-02-27,Expense
Spotify,Monthly_subscription,119,2026-02-28,Expense
Spotify,Family_plan_renewal,179,2026-02-28,Expense
